Id,Prediction
1,0
2,2
3,0
4,1
5,5
6,5
7,4
8,0
9,5
10,2
11,1
12,0
13,4
14,1
15,3
16,5
17,3
18,4
19,1
20,4
21,1
22,2
23,4
24,0
25,3
26,4
27,3
28,1
29,1
30,5
31,5
32,3
33,0
34,1
35,5
36,2
37,4
38,4
39,3
40,4
41,1
42,4
43,4
44,3
45,4
46,2
47,4
48,5
49,1
50,2
51,1
52,2
53,4
54,2
55,2
56,1
57,4
58,3
59,4
60,5
61,5
62,3
63,0
64,3
65,1
66,0
67,0
68,1
69,5
70,5
71,4
72,2
73,0
74,4
75,0
76,2
77,5
78,3
79,5
80,0
81,3
82,0
83,0
84,4
85,3
86,1
87,5
88,0
89,3
90,5
91,4
92,0
93,0
94,1
95,5
96,2
97,4
98,4
99,0
100,4
101,4
102,5
103,0
104,3
105,5
106,4
107,2
108,2
109,3
110,5
111,0
112,1
113,5
114,0
115,5
116,2
117,5
118,5
119,0
120,1
121,4
122,4
123,1
124,2
125,3
126,2
127,5
128,5
129,0
130,3
131,4
132,3
133,0
134,0
135,5
136,4
137,3
138,5
139,1
140,3
141,4
142,5
143,2
144,1
145,2
146,4
147,1
148,5
149,5
150,4
151,2
152,0
153,3
154,2
155,3
156,3
157,4
158,4
159,5
160,2
161,3
162,1
163,1
164,1
165,2
166,0
167,5
168,1
169,1
170,4
171,3
172,3
173,0
174,0
175,4
176,1
177,5
178,5
179,4
180,0
181,4
182,4
183,4
184,2
185,3
186,0
187,1
188,2
189,2
190,2
191,4
192,4
193,1
194,5
195,0
196,4
197,2
198,4
199,3
200,0
201,3
202,2
203,3
204,3
205,4
206,3
207,3
208,1
209,5
210,2
211,0
212,4
213,0
214,3
215,3
216,4
217,3
218,4
219,2
220,0
221,4
222,0
223,1
224,1
225,5
226,3
227,3
228,2
229,4
230,2
231,3
232,5
233,1
234,2
235,1
236,0
237,1
238,5
239,1
240,0
241,5
242,5
243,2
244,0
245,5
246,0
247,1
248,3
249,2
250,3
251,1
252,4
253,0
254,0
255,2
256,0
257,5
258,2
259,5
260,4
261,1
262,3
263,1
264,1
265,2
266,0
267,2
268,1
269,1
270,4
271,4
272,5
273,3
274,0
275,2
276,4
277,2
278,1
279,0
280,3
281,3
282,2
283,0
284,0
285,3
286,4
287,2
288,1
289,2
290,2
291,4
292,0
293,0
294,2
295,5
296,3
297,5
298,4
299,5
300,0
301,3
302,0
303,2
304,4
305,2
306,0
307,5
308,3
309,3
310,2
311,0
312,0
313,1
314,0
315,3
316,3
317,2
318,0
319,0
320,5
321,0
322,4
323,5
324,3
325,5
326,4
327,0
328,5
329,5
330,0
331,2
332,0
333,1
334,1
335,3
336,3
337,0
338,3
339,1
340,0
341,2
342,2
343,1
344,4
345,2
346,2
347,3
348,2
349,1
350,5
351,1
352,4
353,3
354,5
355,4
356,0
357,3
358,0
359,4
360,0
361,2
362,5
363,3
364,2
365,0
366,1
367,2
368,0
369,0
370,0
371,0
372,5
373,0
374,3
375,5
376,0
377,1
378,4
379,3
380,5
381,1
382,3
383,4
384,2
385,4
386,5
387,2
388,2
389,5
390,0
391,1
392,1
393,4
394,3
395,0
396,3
397,1
398,0
399,3
400,3
401,1
402,5
403,0
404,4
405,0
406,4
407,2
408,1
409,5
410,4
411,5
412,5
413,4
414,1
415,5
416,0
417,2
418,3
419,3
420,5
421,3
422,4
423,1
424,1
425,3
426,3
427,4
428,0
429,5
430,1
431,5
432,3
433,0
434,3
435,5
436,5
437,5
438,2
439,3
440,0
441,4
442,1
443,1
444,3
445,5
446,2
447,3
448,1
449,4
450,2
451,0
452,3
453,3
454,1
455,3
456,2
457,0
458,1
459,1
460,2
461,1
462,4
463,3
464,1
465,5
466,2
467,2
468,0
469,5
470,5
471,2
472,1
473,0
474,5
475,5
476,4
477,1
478,2
479,2
480,5
481,0
482,3
483,1
484,4
485,0
486,0
487,3
488,3
489,3
490,3
491,4
492,1
493,2
494,3
495,0
496,0
497,4
498,4
499,5
500,2
501,0
502,0
503,1
504,0
505,2
506,3
507,0
508,5
509,2
510,2
511,1
512,2
513,3
514,3
515,5
516,5
517,4
518,2
519,4
520,2
521,5
522,5
523,3
524,3
525,3
526,0
527,3
528,1
529,2
530,4
531,5
532,5
533,3
534,3
535,0
536,3
537,0
538,1
539,1
540,5
541,5
542,2
543,5
544,2
545,4
546,1
547,5
548,0
549,3
550,5
551,3
552,3
553,2
554,1
555,1
556,3
557,5
558,4
559,5
560,1
561,4
562,2
563,4
564,1
565,1
566,1
567,1
568,5
569,4
570,4
571,4
572,4
573,5
574,0
575,5
576,1
577,5
578,3
579,3
580,2
581,1
582,0
583,1
584,0
585,4
586,1
587,0
588,1
589,0
590,2
591,4
592,1
593,3
594,0
595,3
596,2
597,1
598,1
599,1
600,5
601,1
602,0
603,0
604,3
605,0
606,5
607,0
608,1
609,5
610,3
611,5
612,0
613,1
614,4
615,0
616,1
617,1
618,1
619,3
620,3
621,1
622,5
623,0
624,3
625,0
626,0
627,5
628,0
629,3
630,1
631,1
632,1
633,2
634,5
635,2
636,2
637,4
638,5
639,4
640,1
641,1
642,3
643,5
644,3
645,2
646,2
647,3
648,3
649,3
650,4
651,3
652,4
653,0
654,3
655,5
656,1
657,0
658,0
659,4
660,0
661,5
662,0
663,3
664,3
665,4
666,0
667,5
668,2
669,0
670,0
671,1
672,0
673,1
674,3
675,1
676,2
677,0
678,2
679,4
680,5
681,3
682,3
683,3
684,4
685,3
686,5
687,0
688,2
689,4
690,5
691,3
692,5
693,1
694,5
695,3
696,5
697,2
698,4
699,1
700,1
701,5
702,4
703,5
704,5
705,3
706,3
707,3
708,3
709,2
710,4
711,0
712,4
713,3
714,4
715,5
716,1
717,2
718,2
719,1
720,5
721,4
722,5
723,1
724,3
725,0
726,5
727,0
728,2
729,1
730,5
731,5
732,5
733,0
734,2
735,3
736,0
737,4
738,5
739,1
740,3
741,0
742,3
743,4
744,0
745,3
746,3
747,3
748,3
749,5
750,3
751,2
752,1
753,4
754,2
755,2
756,5
757,1
758,3
759,1
760,2
761,1
762,0
763,5
764,2
765,0
766,4
767,5
768,5
769,0
770,2
771,0
772,1
773,1
774,0
775,4
776,3
777,1
778,0
779,4
780,2
781,3
782,3
783,5
784,3
785,5
786,5
787,1
788,2
789,3
790,2
791,5
792,3
793,5
794,3
795,1
796,4
797,1
798,4
799,3
800,4
801,2
802,3
803,4
804,0
805,0
806,0
807,4
808,4
809,1
810,5
811,4
812,1
813,1
814,0
815,0
816,3
817,3
818,0
819,0
820,2
821,1
822,0
823,5
824,2
825,2
826,0
827,4
828,0
829,1
830,5
831,0
832,5
833,1
834,5
835,3
836,0
837,0
838,5
839,4
840,1
841,2
842,3
843,3
844,0
845,1
846,3
847,1
848,2
849,5
850,1
851,1
852,1
853,2
854,5
855,3
856,5
857,4
858,5
859,3
860,3
861,2
862,1
863,5
864,4
865,3
866,0
867,4
868,2
869,0
870,0
871,1
872,2
873,1
874,2
875,3
876,0
877,2
878,2
879,1
880,0
881,3
882,5
883,1
884,4
885,0
886,4
887,5
888,0
889,1
890,5
891,1
892,4
893,2
894,1
895,2
896,1
897,0
898,4
899,2
900,5
901,5
902,2
903,1
904,3
905,2
906,1
907,3
908,2
909,3
910,0
911,0
912,1
913,5
914,1
915,5
916,5
917,0
918,2
919,2
920,3
921,0
922,0
923,1
924,3
925,5
926,5
927,0
928,5
929,4
930,4
931,0
932,5
933,1
934,0
935,0
936,5
937,2
938,4
939,0
940,1
941,1
942,0
943,4
944,3
945,1
946,4
947,2
948,1
949,0
950,3
951,2
952,5
953,3
954,3
955,3
956,4
957,2
958,5
959,4
960,3
961,5
962,2
963,3
964,5
965,4
966,2
967,0
968,0
969,1
970,4
971,2
972,1
973,1
974,4
975,4
976,0
977,2
978,2
979,4
980,1
981,0
982,2
983,5
984,4
985,4
986,3
987,1
988,5
989,4
990,4
991,0
992,1
993,0
994,2
995,4
996,3
997,0
998,2
999,1
1000,2
1001,5
1002,2
1003,0
1004,3
1005,2
1006,2
1007,4
1008,1
1009,0
1010,4
1011,3
1012,0
1013,4
1014,2
1015,1
1016,0
1017,3
1018,2
1019,2
1020,3
1021,3
1022,2
1023,4
1024,0
1025,3
1026,4
1027,2
1028,4
1029,4
1030,0
1031,0
1032,4
1033,5
1034,3
1035,1
1036,3
1037,5
1038,3
1039,4
1040,3
1041,4
1042,4
1043,0
1044,2
1045,3
1046,3
1047,5
1048,3
1049,0
1050,5
1051,2
1052,3
1053,0
1054,5
1055,2
1056,3
1057,4
1058,0
1059,2
1060,5
1061,4
1062,1
1063,5
1064,4
1065,5
1066,4
1067,1
1068,1
1069,5
1070,2
1071,5
1072,5
1073,0
1074,1
1075,4
1076,4
1077,3
1078,5
1079,5
1080,2
1081,5
1082,5
1083,1
1084,4
1085,0
1086,0
1087,5
1088,4
1089,5
1090,2
1091,0
1092,1
1093,0
1094,2
1095,1
1096,1
1097,4
1098,0
1099,5
1100,5
1101,5
1102,3
1103,5
1104,1
1105,2
1106,1
1107,4
1108,0
1109,2
1110,3
1111,5
1112,3
1113,1
1114,5
1115,1
1116,3
1117,2
1118,0
1119,0
1120,5
1121,1
1122,1
1123,5
1124,3
1125,3
1126,5
1127,5
1128,5
1129,0
1130,3
1131,3
1132,1
1133,5
1134,0
1135,1
1136,3
1137,2
1138,1
1139,4
1140,0
1141,0
1142,0
1143,3
1144,3
1145,0
1146,5
1147,3
1148,2
1149,5
1150,1
1151,3
1152,5
1153,3
1154,0
1155,0
1156,0
1157,0
1158,5
1159,1
1160,0
1161,4
1162,0
1163,3
1164,0
1165,5
1166,0
1167,4
1168,4
1169,5
1170,3
1171,5
1172,4
1173,3
1174,4
1175,3
1176,3
1177,1
1178,0
1179,5
1180,2
1181,0
1182,5
1183,1
1184,4
1185,2
1186,3
1187,3
1188,4
1189,4
1190,4
1191,5
1192,5
1193,5
1194,3
1195,0
1196,4
1197,5
1198,3
1199,5
1200,3
1201,0
1202,3
1203,0
1204,1
1205,2
1206,1
1207,5
1208,5
1209,3
1210,5
1211,1
1212,5
1213,3
1214,5
1215,1
1216,0
1217,5
1218,0
1219,1
1220,2
1221,2
1222,2
1223,1
1224,5
1225,0
1226,0
1227,2
1228,0
1229,3
1230,2
1231,5
1232,3
1233,0
1234,3
1235,4
1236,1
1237,4
1238,3
1239,0
1240,0
1241,4
1242,0
1243,3
1244,2
1245,3
1246,2
1247,3
1248,2
1249,3
1250,1
1251,1
1252,2
1253,5
1254,4
1255,0
1256,2
1257,5
1258,1
1259,2
1260,3
1261,1
1262,4
1263,4
1264,2
1265,1
1266,2
1267,3
1268,0
1269,5
1270,5
1271,1
1272,3
1273,5
1274,5
1275,2
1276,4
1277,5
1278,3
1279,4
1280,3
1281,1
1282,0
1283,0
1284,2
1285,3
1286,0
1287,3
1288,5
1289,5
1290,4
1291,1
1292,0
1293,0
1294,3
1295,1
1296,3
1297,3
1298,1
1299,5
1300,3
1301,4
1302,3
1303,4
1304,4
1305,4
1306,5
1307,1
1308,1
1309,4
1310,0
1311,3
1312,2
1313,2
1314,5
1315,5
1316,4
1317,4
1318,5
1319,1
1320,4
1321,4
1322,1
1323,4
1324,1
1325,1
1326,5
1327,3
1328,3
1329,1
1330,2
1331,4
1332,2
1333,3
1334,5
1335,0
1336,3
1337,1
1338,0
1339,1
1340,1
1341,2
1342,1
1343,5
1344,5
1345,1
1346,5
1347,0
1348,5
1349,2
1350,5
1351,5
1352,3
1353,5
1354,1
1355,4
1356,2
1357,5
1358,3
1359,1
1360,5
1361,5
1362,5
1363,1
1364,2
1365,4
1366,5
1367,0
1368,3
1369,2
1370,1
1371,1
1372,2
1373,0
1374,4
1375,4
1376,5
1377,1
1378,3
1379,5
1380,5
1381,0
1382,3
1383,0
1384,0
1385,1
1386,2
1387,1
1388,1
1389,5
1390,4
1391,4
1392,5
1393,1
1394,2
1395,4
1396,4
1397,2
1398,2
1399,2
1400,0
1401,1
1402,5
1403,2
1404,2
1405,4
1406,4
1407,2
1408,4
1409,5
1410,3
1411,4
1412,2
1413,4
1414,1
1415,5
1416,4
1417,5
1418,4
1419,3
1420,5
1421,1
1422,4
1423,4
1424,0
1425,0
1426,0
1427,2
1428,1
1429,1
1430,0
1431,3
1432,1
1433,4
1434,5
1435,1
1436,4
1437,3
1438,5
1439,5
1440,4
1441,2
1442,3
1443,2
1444,3
1445,0
1446,4
1447,3
1448,2
1449,4
1450,2
1451,1
1452,2
1453,1
1454,0
1455,5
1456,0
1457,2
1458,5
1459,4
1460,5
1461,0
1462,0
1463,3
1464,4
1465,3
1466,2
1467,1
1468,2
1469,5
1470,0
1471,2
1472,2
1473,3
1474,3
1475,3
1476,5
1477,4
1478,3
1479,3
1480,4
1481,0
1482,1
1483,3
1484,5
1485,4
1486,3
1487,2
1488,4
1489,0
1490,3
1491,3
1492,1
1493,1
1494,4
1495,2
1496,2
1497,0
1498,1
1499,5
1500,5
1501,2
1502,4
1503,5
1504,1
1505,3
1506,2
1507,1
1508,2
1509,2
1510,2
1511,4
1512,4
1513,2
1514,5
1515,2
1516,3
1517,4
1518,3
1519,4
1520,2
1521,3
1522,3
1523,1
1524,3
1525,2
1526,4
1527,2
1528,1
1529,3
1530,0
1531,0
1532,2
1533,0
1534,5
1535,0
1536,2
1537,2
1538,4
1539,0
1540,2
1541,3
1542,2
1543,2
1544,4
1545,0
1546,4
1547,4
1548,4
1549,1
1550,0
1551,5
1552,4
1553,4
1554,3
1555,2
1556,3
1557,4
1558,3
1559,5
1560,4
1561,4
1562,2
1563,3
1564,2
1565,2
1566,0
1567,0
1568,4
1569,0
1570,4
1571,0
1572,2
1573,1
1574,2
1575,1
1576,2
1577,0
1578,0
1579,3
1580,3
1581,1
1582,5
1583,2
1584,4
1585,1
1586,2
1587,2
1588,2
1589,0
1590,2
1591,1
1592,4
1593,3
1594,2
1595,4
1596,1
1597,5
1598,1
1599,3
1600,2
1601,3
1602,4
1603,4
1604,4
1605,4
1606,1
1607,2
1608,0
1609,4
1610,5
1611,4
1612,4
1613,3
1614,4
1615,1
1616,2
1617,4
1618,5
1619,3
1620,4
1621,3
1622,3
1623,2
1624,3
1625,0
1626,4
1627,1
1628,4
1629,2
1630,3
1631,3
1632,5
1633,5
1634,1
1635,3
1636,0
1637,4
1638,2
1639,2
1640,5
1641,0
1642,3
1643,0
1644,1
1645,3
1646,1
1647,5
1648,5
1649,5
1650,5
1651,3
1652,5
1653,4
1654,5
1655,1
1656,4
1657,1
1658,2
1659,1
1660,4
1661,5
1662,0
1663,5
1664,3
1665,4
1666,0
1667,3
1668,3
1669,2
1670,3
1671,4
1672,2
1673,5
1674,3
1675,4
1676,4
1677,0
1678,3
1679,3
1680,5
1681,1
1682,2
1683,1
1684,4
1685,5
1686,0
1687,3
1688,0
1689,3
1690,0
1691,4
1692,2
1693,3
1694,1
1695,4
1696,1
1697,5
1698,3
1699,4
1700,4
1701,4
1702,1
1703,5
1704,2
1705,3
1706,0
1707,4
1708,2
1709,4
1710,3
1711,4
1712,3
1713,4
1714,1
1715,5
1716,2
1717,5
1718,4
1719,1
1720,3
1721,3
1722,2
1723,3
1724,5
1725,5
1726,1
1727,3
1728,0
1729,0
1730,5
1731,4
1732,0
