SL,EEG,BP,HR,CIRCULATION,ACTIVITY
4019.64,-1600,13,79,317,3
2191.03,-1146.08,20,54,165,2
2787.99,-1263.38,46,67,224,2
9545.98,-2848.93,26,138,554,4
14148.8,-2381.15,85,120,809,4
7336.79,-1699.8,22,95,427,5
24949.9,-3198.06,35,157,1519,3
39245.5,-2590,15,196,1885,3
59742,-5101,56,249,2826,0
140950,-1410,82,315,5844,4
15336.6,-3000.09,81,133,847,0
28521,-3732.37,61,214,1469,5
66668,-6050,97,207,3048,0
9698,-2686,59,104,652,0
11524.1,-3270.78,44,156,654,4
51960.7,-2510,16,188,2599,3
90305.4,-2280,53,223,2059,3
6490.83,-1923.04,23,100,485,0
5545,-2661,41,126,371,0
103850,-4705,85,237,4804,0
13978,-3121,24,126,765,0
110121,-6380,38,322,4619,3
4269.08,-1520,10,79,317,2
1433.37,-606618,32,40,100,3
144972,-5803.6,170,308,6057,4
40216.5,-1760,43,234,1581,2
300553,-12391,73,464,10829,0
115245,-2020,47,235,4905,3
280276,-13215,264,465,8741,0
9499.81,-2868.48,97,130,490,2
46065.4,-5543.47,49,273,2061,4
161030,-8830,91,388,6290,4
151812,-6450,66,284,6506,0
162489,-10600,88,388,6290,3
205811,-10695,61,390,6741,0
33873.2,-2730,56,234,1581,2
2837.21,-1207.83,47,67,224,4
60525,-4780,25,247,2754,3
38062.2,-4162.48,129,205,1751,3
86042.1,-2960,18,220,3450,4
1436.3,-634175,33,40,100,4
4806,-1941,18,111,345,0
291719,-11688,242,487,10978,0
171016,-6821,63,299,7334,0
14147.7,-2295.22,90,120,809,3
94618,-8497,92,365,3633,0
40847.4,-2722.39,60,159,2181,5
4179.02,-1499.3,122,88,318,3
27663.8,-2981.07,101,158,1403,4
9277.63,-3214.06,21,138,554,2
456954,-12000,51,483,15505,5
26600.5,-3313.23,28,174,1415,5
68879.1,-5251.84,148,247,3373,1
115767,-4260,55,271,4426,2
38959,-4287.95,20,193,2118,3
33029,-3402.85,87,176,1922,4
72561.2,-5540.34,47,262,3211,5
193489,-4900,93,403,6746,3
164814,-7371.08,65,352,6744,2
70843,-5725,29,210,2894,0
4188,-2124,15,88,318,0
50902.1,-4040,47,234,2464,3
244148,-6136,48,368,5025,0
469672,-10800,59,483,15505,2
12121.7,-2630.01,92,136,619,3
163006,-8730,93,449,5537,2
7326,-2343,57,108,517,0
27397,-4556,13,142,1255,0
27928,-2735.9,76,158,1403,4
174076,6300,66,403,6746,3
78485.7,-5040,63,272,3539,5
4085.64,-2288.24,70,101,249,4
43306,-4973,33,199,2061,0
92585.3,-5580,50,254,3885,3
7585.75,-1690,161,109,486,5
18259.1,-3331.32,55,172,973,4
26567,-3618,28,165,1524,0
36750.7,-3060,41,196,1997,4
93227,-5737,47,311,3802,0
87333.1,-2390,14,220,3450,3
11120.1,-1915.98,21,102,764,4
14204.6,-2351.32,82,120,809,3
48737,-5984,176,233,2325,0
22740,-1810,23,138,1206,0
14057.7,-1527.94,12,96,804,4
59784.8,-3640,71,223,2822,5
84668.3,-2010,25,220,3450,3
474472,-10700,45,483,15505,3
30430,-3162.94,116,171,1747,5
70519.9,-5529.93,42,262,3211,5
12062.3,-1807.84,8,105,765,2
52.5799,-430,92,33,5,4
60792.1,-5420,27,247,2754,4
38530,-2126,34,209,1524,0
67787,-6540,61,273,2129,0
79963.8,-5160,48,272,3539,4
29260.1,-3378.18,31,179,1626,5
299930,-10794,87,407,10820,0
9414,-2356,34,101,586,0
4276.59,-717,10,79,317,2
70542.2,-5318.65,70,262,3211,5
35892,-3519,40,175,1868,0
52851.3,-4344.44,99,209,2534,5
28128.2,-2820.32,95,156,1521,3
2870.85,-1199.41,47,67,224,4
17476.2,-4127.4,30,183,931,1
15678,-3176,77,125,889,0
12811.6,-1540.87,31,96,804,5
275831,-12900,83,540,8870,3
79237.5,-7189.59,58,320,3466,4
9426.1,-2960.66,21,138,554,4
6030,-1152,12,80,316,0
23021,-2302,17,145,1357,0
35151.4,-4456.41,129,208,1691,4
2173.98,-1051.37,20,54,165,2
12007,-1608,26,145,768,0
36430,-4388.08,117,208,1691,4
2179.4,-1036.21,20,54,165,2
4068.02,-1363.32,23,72,340,5
279622,-9205.06,72,468,9276,5
10028.9,-1660,47,154,587,3
4670,-2029,46,95,344,0
9526.94,-1150,26,102,516,5
2203.3,-1034.09,21,54,165,2
28718.5,-3305.19,35,179,1626,4
59502.1,-6690.93,158,305,2610,2
57637.3,-2200,37,223,2822,4
26319.7,-2320,30,156,1364,3
26774,-2360,31,156,1364,3
170352,-8728,40,339,7341,0
5250.37,-1460,8,79,292,2
27497.3,-1910,45,156,1364,3
21900,-3695,17,147,1018,0
46178,-5749.48,48,273,2061,3
79552.2,-4770,37,272,3539,3
114530,-4270,43,235,4905,3
14318.6,-1963.13,91,120,809,3
175790,-12389,45,430,6635,0
143417,-6182.51,179,308,6057,3
12570.1,-1849.35,12,105,765,3
26292.9,-3235.61,24,174,1415,4
9270.66,-3089.5,20,138,554,2
4175.55,-1600,29,86,205,4
4136.87,-2420,12,79,292,4
190854,-8983,252,350,7945,0
74055.4,-2910,26,249,3630,1
60001.1,-5590,26,247,2754,3
7611.03,-1890.14,75,104,457,2
32119,-3410.33,76,176,1922,4
8281,-4037,16,137,399,0
112064,-3070,54,235,4905,2
37792.9,-3090,41,196,1997,3
9399.96,-2667.47,98,130,490,2
8991.08,-1420,21,102,516,5
59376,-6706,42,281,2541,0
88837,-6240,52,302,3891,0
255509,-7480,94,537,8350,4
81599,-6817,62,265,3292,0
79880.6,-5720,37,272,3539,3
4945.65,-2053.07,28,107,346,2
324568,-13759,323,482,10983,0
1454.91,-1014.97,42,52,133,2
11069.7,-3180.11,36,156,654,4
9015.01,-2858.76,27,138,554,4
3397.19,-1070.32,43,60,243,0
2013.37,-1076.53,5,63,166,3
4364,-2641,19,111,272,0
34115.6,-3720,51,234,1581,2
276650,-9670,105,537,8350,3
16190,-2635,22,137,810,0
5299.65,-2070,7,79,292,2
77654.4,-5432.38,32,262,3211,4
68486,-4464,38,264,2681,0
20770,-2326,21,110,655,0
83655.8,-2990,30,220,3450,3
34617.4,-2860,22,234,1581,2
66809.9,-3810,49,224,2192,3
80111.3,-5450,45,272,3539,4
173121,-6332,86,320,6522,0
17200.1,-4252.16,35,183,931,1
51996.9,-2640,37,188,2599,4
9469.98,-2806.49,97,130,490,2
414869,-12806,95,509,13313,0
7251.57,-2400,158,109,486,4
5621.85,-1840,16,79,292,2
158829,-6132,65,306,7090,0
4273.35,-1750,21,85,343,4
